session_id,date,duration_hrs,active_hrs,bank_hrs,trips,total_kills,total_attacks,actual_supply_cost,rng_variance_gp,t_ngp_hr,astb,miss_per_hr,config_weapon_Dragon hunter crossbow,config_ammo_Diamond bolts (e),config_ammo_Dragonstone bolts (e),config_ammo_Pearl dragon bolts (e),config_ammo_Runite Bolts,config_ring_Archers ring (i),config_ring_Ring of the gods (i),config_back_Ava's assembler,config_back_Ranging cape (t),config_feet_Devout Boots,config_feet_Pegasian boots,config_feet_Saradomin d'hide boots,config_prayer_Rigour,config_tele_Xeric's Talisman,config_bank_Ring of dueling,config_bones_Bonecrusher necklace,config_bones_Pick up bones,config_pray_restore_Moonlight Moth,config_pray_restore_Prayer Potions,config_hands_Saradomin bracers,config_hands_Zaryte vambraces,config_head_Masori mask (f),config_head_Saradomin coif,config_body_Masori body (f),config_body_Saradomin d'hide body,config_legs_Masori chaps (f),config_legs_Saradomin chaps
session_1768340633,2026-01-13,0.7569636361111111,0.0,0.05882362694444445,5,51,0,146459.75,-82962.85097478516,1598071.6156848804,42.3530114,,True,True,False,False,False,False,True,False,True,False,True,False,True,True,True,True,False,False,True,False,True,True,False,True,False,True,False
session_1768437788,2026-01-14,1.3989085575,0.0,0.13416545166666666,11,96,0,272676.25,-198147.6018348895,1629885.9132791383,43.90869327272727,,True,True,False,False,False,False,True,False,True,False,True,False,True,True,True,True,False,False,True,False,True,True,False,True,False,True,False
session_1768455281,2026-01-14,1.5015980150000001,0.0,0.13663924500000002,11,98,0,275600.0,-112195.63520644978,1551893.1244767592,44.718298363636364,,True,True,False,False,False,False,True,False,True,False,True,False,True,True,True,True,False,False,True,False,True,True,False,True,False,True,False
session_1768530665,2026-01-15,1.2473669280555555,0.0,0.11775769111111109,9,86,0,228821.75,71408.56502291141,1649879.950068252,47.10307644444444,,True,True,False,False,False,False,True,False,True,False,True,False,True,True,True,True,False,False,True,False,True,True,False,True,False,True,False
session_1768610682,2026-01-16,1.374825236111111,0.0,0.11897043777777777,10,91,0,0.0,284262.4815940107,1760065.5376756748,42.829357599999994,,True,True,False,False,False,False,True,False,True,False,True,False,True,True,True,True,False,False,True,False,True,True,False,True,False,True,False
session_1768630842,2026-01-17,0.7751934244444444,0.0,0.05400887666666667,5,54,0,445740.5,9238.098967874423,1277325.5935984636,38.886391200000006,,True,False,True,False,False,False,True,False,True,False,True,False,True,True,True,True,False,False,True,False,True,True,False,True,False,True,False
session_1768633712,2026-01-17,1.3647411413888888,0.0,0.10867720111111112,10,95,0,268675.0,-202817.58514910983,1654139.028044318,39.1237924,,True,True,False,False,False,False,True,False,True,False,True,False,True,True,True,True,False,False,True,False,True,True,False,True,False,True,False
session_1768676815,2026-01-17,2.1793602455555554,0.0,0.1864625569444444,18,156,0,450770.5,48189.397018304095,1696565.8204154125,37.29251138888888,,True,True,False,False,False,False,True,False,True,False,True,False,True,True,True,True,False,False,True,False,True,True,False,True,False,True,False
session_1768714666,2026-01-17,1.3973664838888888,0.0,0.12919620222222222,12,91,0,280732.0,246276.48159401072,1530772.7379098032,38.75886066666667,,True,True,False,False,False,False,True,False,True,False,True,False,True,True,True,True,False,False,True,False,True,True,False,True,False,True,False
session_1768801460,2026-01-18,1.8366303874999999,0.0,0.1401712086111111,13,130,0,389076.5,227723.83084858675,1670317.3866829062,38.81664238461538,,True,True,False,False,False,False,True,False,True,False,True,False,True,True,True,True,False,False,True,False,True,True,False,True,False,True,False
session_1768808561,2026-01-19,1.3632430827777777,0.0,0.12952110055555557,10,89,0,239659.25,425366.514965571,1560206.8786591757,46.627596200000006,,True,True,False,False,False,False,True,False,True,False,True,False,True,True,True,True,False,False,True,False,True,True,False,True,False,True,False
session_1768853500,2026-01-19,1.5770815297222223,0.0,0.1170286988888889,11,106,0,334717.75,102535.23130730912,1575016.872545705,38.300301454545455,,True,True,False,False,False,False,True,False,True,False,True,False,True,True,True,True,False,False,True,False,True,True,False,True,False,True,False
session_1768875048,2026-01-19,2.674833074722222,0.0,0.2751270236111111,20,179,0,552850.5,-598049.9867546381,1572786.5512473234,49.52286425,,True,True,False,False,False,False,True,False,True,False,True,False,True,True,True,True,False,False,True,False,True,True,False,True,False,True,False
